Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Medicine
Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"NSAIDs (e.g., Naproxen); Reduces pain and inflammation. Take as needed, per doctor’s guidance."
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Methimazole; Reduces thyroid hormone production. Taken daily as prescribed by a doctor."
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"Antibiotics (e.g., Nitrofurantoin); Treats bacterial infection. Taken as prescribed, usually 3-7 days."
Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"Pain relievers (e.g., Ibuprofen); Reduces discomfort. Take as needed, per doctor’s advice."
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Antiretroviral Therapy (ART); Manages HIV infection. Taken daily as prescribed, lifelong."
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,"Anticoagulants (e.g., Warfarin); Prevents blood clots. Taken under strict medical supervision."
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"Antibiotics (e.g., Ciprofloxacin); Treats bacterial infection. Taken as prescribed, usually 7-14 days."
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,"Antivirals (e.g., Tenofovir); Reduces viral load. Taken daily as prescribed, often long-term."
Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Antifungal Cream (e.g., Clotrimazole); Treats fungal infections. Apply to affected area 1-2 times daily."
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,"Direct-acting Antivirals (e.g., Sofosbuvir); Cures infection. Taken as prescribed, typically 8-12 weeks."
Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,"Triptans (e.g., Sumatriptan); Relieves migraine pain. Taken at onset of symptoms, as prescribed."
Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Inhaled Corticosteroids (e.g., Budesonide); Reduces airway inflammation. Used daily via inhaler, as prescribed."
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,"Corticosteroids (e.g., Prednisolone); Reduces inflammation. Taken under medical supervision, short-term."
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Supportive care (no specific drug); Hydration and nutrition aid recovery. Follow doctor’s advice."
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,"Supportive care (no specific antiviral); Rest and hydration aid recovery. Follow doctor’s advice."
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"Supportive care (no specific antiviral); Hydration and rest aid recovery. Follow doctor’s advice."
Heart attack,call ambulance,chew or swallow asprin,keep calm,,"Aspirin; Prevents further clotting. Chew 325 mg immediately during suspected heart attack."
Pneumonia,consult doctor,medication,rest,follow up,"Antibiotics (e.g., Amoxicillin); Treats bacterial pneumonia. Taken as prescribed, usually 7-10 days."
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,"NSAIDs (e.g., Diclofenac); Reduces pain and inflammation. Taken as prescribed, often daily."
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Oral Rehydration Salts; Prevents dehydration. Mix with water and sip as directed."
Tuberculosis,cover mouth,consult doctor,medication,rest,"Antitubercular drugs (e.g., Rifampin); Treats TB infection. Taken daily for 6-9 months, as prescribed."
